feature	importance	cluster	outclf_sensitivity
nrm_polar_ratio	0.025044896428947878	5	0.053370606141751153
beta_sheet	0.03359277613993231	6	0.09336600777659487
beta_sheet	0.03336636985874519	6	0.09336600777659487
beta_sheet	0.029235655262984224	6	0.09336600777659487
beta_sheet	0.024634426566540767	6	0.09336600777659487
helix	0.021538102831165064	6	0.025052679841753633
helix	0.021260915848562194	6	0.025052679841753633
helix	0.02115132655282316	6	0.025052679841753633
beta_sheet	0.020827889873999996	6	0.09336600777659487
helix	0.018953632932952706	6	0.025052679841753633
helix	0.018337727769190258	6	0.025052679841753633
acc_ratio	0.022635372143618975	7	0.03263668379137907
acc_ratio	0.02248817185693632	7	0.03263668379137907
acc_ratio	0.022143840422862375	7	0.03263668379137907
acc_ratio	0.019287019226315257	7	0.03263668379137907
acc_ratio	0.01841877801666882	7	0.03263668379137907
nrm_hyd_ratio	0.014863894533879131	7	0.024756419867338897
nrm_hyd_ratio	0.013487925204836554	7	0.024756419867338897
nrm_hyd_ratio	0.013421506024361774	7	0.024756419867338897
nrm_hyd_ratio	0.013359334984999489	7	0.024756419867338897
nrm_hyd_ratio	0.013292169415735343	7	0.024756419867338897
loop	0.019683699288896236	8	0.02790978373591646
loop	0.0184015139188075	8	0.02790978373591646
loop	0.017668563981994543	8	0.02790978373591646
loop	0.01719807237485138	8	0.02790978373591646
loop	0.01699825099236141	8	0.02790978373591646
hp_ratio	0.02012334228660485	9	0.006545781851530097
hp_ratio	0.01848330115136769	9	0.006545781851530097
hp_ratio	0.018123259048510924	9	0.006545781851530097
hp_ratio	0.016228286071130603	9	0.006545781851530097
hp_ratio	0.01528099358689647	9	0.006545781851530097
turn	0.015171260356441747	10	0.01733301036958712
turn	0.015056018843329225	10	0.01733301036958712
turn	0.014660970127955019	10	0.01733301036958712
turn	0.014066015541789063	10	0.01733301036958712
turn	0.013292390475331739	10	0.01733301036958712
acc_bur_vert_ratio	0.01726376898547061	11	0.04598724843024604
acc_bur_vert_ratio	0.014715440344024144	11	0.04598724843024604
acc_bur_vert_ratio	0.0130838496543058	11	0.04598724843024604
acc_bur_vert_ratio	0.012974799143538182	11	0.04598724843024604
acc_bur_vert_ratio	0.0126803172847952	11	0.04598724843024604
