SMILES	HET	IUPAC_NAME	ORGANIC	NORM_ATOMS	HVY_ATMS	aLogP	MR	MW	HBA	HBD	TPSA	LABUTEASA	ROTBONDS	NUMRINGS	SAT_RINGS	ALIPH_RINGS	ARO_RINGS	MACROCYCLES	Fsp3	SA	QED	IF_SCORE	in_out	Set
CCCN1CCN(C(=O)c2cc(Cn3c(=O)[nH]c(=O)c4ccccc43)ccc2F)CC1=O	6WX	1-[[4-fluoranyl-3-(3-oxidanylidene-4-propyl-piperazin-1-yl)carbonyl-phenyl]methyl]quinazoline-2,4-dione	True	True	32.0	1.5715999999999997	117.10520000000005	438.17	5.0	1.0	95.47999999999999	182.4293683253328	5.0	4.0	1.0	1.0	3.0	0.0	0.30434782608695654	2.4496140500882433	0.6542690425326909	0.04682576155065782	1	Drug-Like
CCC(CC)O[C@@H]1C=C(C(=O)O)C[C@H](n2cc(-c3ccccc3)nn2)[C@H]1NC(C)=O	HZF	(3r,4r,5s)-4-acetamido-3-pentan-3-yloxy-5-(4-phenyl-1,2,3-triazol-1-yl)cyclohexene-1-carboxylic acid	True	True	30.0	2.979400000000001	111.67850000000004	412.21	6.0	2.0	106.33999999999999	175.47827311311053	8.0	3.0	0.0	1.0	2.0	0.0	0.45454545454545453	3.860291713038447	0.690380238446539	0.04682621956206989	1	Drug-Like
CCOc1ccc(C[C@@H](N)C(=O)O)cc1	A1EQM	o-ethyl-d-tyrosine	True	True	15.0	1.0397	56.92620000000002	209.11	3.0	2.0	72.55	88.66530547023939	5.0	1.0	0.0	0.0	1.0	0.0	0.36363636363636365	2.0337007300609873	0.7595707776092573	0.04682871081448614	1	Drug-Like
O=C(O)C[C@@H](Cc1ccccc1)C(=O)O	BZS	l-benzylsuccinic acid	True	True	15.0	1.4046	53.52460000000002	208.07	2.0	2.0	74.6	87.16762539595959	5.0	1.0	0.0	0.0	1.0	0.0	0.2727272727272727	2.117321367959674	0.7666037270099341	0.04683670890040931	1	Drug-Like
CCNC(=O)CN(CC)c1ccnc(C)n1	WDH	n,n~2~-diethyl-n~2~-(2-methylpyrimidin-4-yl)glycinamide	True	True	16.0	0.7474199999999998	63.33970000000003	222.15	4.0	1.0	58.120000000000005	95.8965118360214	5.0	1.0	0.0	0.0	1.0	0.0	0.5454545454545454	2.4011316921315498	0.7982893982415761	0.04678604506381134	1	Drug-Like
CC(C)(C)OC(=O)Nc1cccc(B(O)O)c1	JW1	{3-[(tert-butoxycarbonyl)amino]phenyl}boronic acid	True	True	17.0	0.7133999999999998	66.12430000000003	237.12	4.0	3.0	78.79	100.56211472552424	2.0	1.0	0.0	0.0	1.0	0.0	0.36363636363636365	2.2906019664559416	0.661722968853029	0.04672599319903459	1	Drug-Like
O=C(O)[C@@H](CS)CCCc1ccccc1	M5P	(s)-2-(mercaptomethyl)-5-phenylpentanoic acid	True	True	15.0	2.6399000000000012	64.35880000000004	224.09	2.0	2.0	76.1	95.73187832151814	6.0	1.0	0.0	0.0	1.0	0.0	0.4166666666666667	2.4345098160969023	0.7288676217827351	0.04684714133005241	1	Drug-Like
CCS(=O)(=O)N1CC(CC#N)(n2cc(-c3ncnc4[nH]ccc34)cn2)C1	3JW	baricitinib	True	True	26.0	1.09568	94.34750000000004	371.12	7.0	1.0	128.94000000000003	149.88780458849854	5.0	4.0	1.0	1.0	3.0	0.0	0.375	3.249730227082207	0.7167032115900049	0.04685592821930107	1	Drug-Like
CC(=O)N1C[C@@H](CO)[C@@H]2Oc3ccc(Cl)cc3[C@@H]21	F8D	1-[(3s,3as,8bs)-7-chloro-3-(hydroxymethyl)-2,3,3a,8b-tetrahydro-1h-[1]benzofuro[3,2-b]pyrrol-1-yl]ethan-1-one	True	True	18.0	1.6127	66.57180000000002	267.07	3.0	1.0	49.77	110.10673659204645	1.0	3.0	1.0	2.0	1.0	0.0	0.46153846153846156	3.6702258755229398	0.8410961240912639	0.04689302207458346	1	Drug-Like
Cc1cccc(Nc2nc(N[C@@H]3CCCC[C@@H]3N)ncc2C(N)=O)c1	P5C	2-{[(1r,2s)-2-aminocyclohexyl]amino}-4-[(3-methylphenyl)amino]pyrimidine-5-carboxamide	True	True	25.0	2.3093199999999996	98.86570000000003	340.2	6.0	4.0	118.95	146.7825269103829	5.0	3.0	1.0	1.0	2.0	0.0	0.3888888888888889	3.071968423101593	0.6629929982859932	0.04687671839640095	1	Drug-Like
